"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2017","225,20","224,12","226,20","223,27","18,92M","0,45%"
"28.12.2017","224,20","226,90","227,17","223,00","24,08M","-1,22%"
"27.12.2017","226,98","224,01","227,20","223,10","30,10M","1,53%"
"26.12.2017","223,57","223,90","223,98","221,00","12,30M","0,12%"
"25.12.2017","223,30","222,22","223,90","221,65","11,18M","0,84%"
"22.12.2017","221,44","223,68","224,64","221,12","21,52M","-0,97%"
"21.12.2017","223,60","226,46","227,39","222,35","34,75M","-1,06%"
"20.12.2017","226,00","224,28","226,68","222,70","34,20M","0,85%"
"19.12.2017","224,10","227,99","228,50","223,50","34,99M","-1,45%"
"18.12.2017","227,40","227,49","228,90","225,70","24,52M","0,38%"
"15.12.2017","226,53","228,90","229,79","225,57","42,53M","-1,47%"
"14.12.2017","229,90","222,11","229,90","221,10","55,63M","3,65%"
"13.12.2017","221,80","227,30","228,33","220,54","61,58M","-2,68%"
"12.12.2017","227,90","229,00","230,50","226,11","39,74M","0,09%"
"11.12.2017","227,69","221,40","227,69","221,10","34,54M","3,08%"
"08.12.2017","220,89","219,90","223,00","219,61","28,32M","0,49%"
"07.12.2017","219,81","223,83","224,79","219,23","38,23M","-1,76%"
"06.12.2017","223,75","222,65","224,90","221,57","23,14M","-0,07%"
"05.12.2017","223,91","224,00","224,55","222,00","27,89M","-0,31%"
"04.12.2017","224,60","222,00","226,00","219,55","45,16M","1,40%"
"01.12.2017","221,50","224,50","225,76","220,76","39,98M","-1,27%"
"30.11.2017","224,35","228,00","228,92","222,35","46,12M","-1,69%"
"29.11.2017","228,20","230,10","231,50","226,70","34,34M","-0,78%"
"28.11.2017","230,00","221,00","230,00","221,00","40,90M","1,43%"
"27.11.2017","226,76","228,40","229,04","225,00","24,03M","-0,54%"
"24.11.2017","228,00","225,40","228,00","222,15","44,28M","1,08%"
"23.11.2017","225,56","230,26","230,99","225,06","41,14M","-2,04%"
